Category: All categories

Week,Google Trends: (United States)
2018-01-21,91
2018-01-28,87
2018-02-04,90
2018-02-11,74
2018-02-18,75
2018-02-25,87
2018-03-04,83
2018-03-11,87
2018-03-18,76
2018-03-25,85
2018-04-01,85
2018-04-08,90
2018-04-15,91
2018-04-22,83
2018-04-29,77
2018-05-06,80
2018-05-13,86
2018-05-20,80
2018-05-27,75
2018-06-03,80
2018-06-10,75
2018-06-17,72
2018-06-24,69
2018-07-01,62
2018-07-08,79
2018-07-15,66
2018-07-22,69
2018-07-29,79
2018-08-05,73
2018-08-12,63
2018-08-19,69
2018-08-26,71
2018-09-02,72
2018-09-09,79
2018-09-16,85
2018-09-23,87
2018-09-30,89
2018-10-07,78
2018-10-14,79
2018-10-21,86
2018-10-28,94
2018-11-04,100
2018-11-11,92
2018-11-18,63
2018-11-25,100
2018-12-02,97
2018-12-09,92
2018-12-16,77
2018-12-23,62
2018-12-30,71
2019-01-06,97
2019-01-13,78
